meter_id,meter_idx,anomaly_type,start,end,is_theft,expected_tier
BLR-KMG-11-0008,7,magnet_attack,2026-02-15 18:00,2026-02-15 22:00,True,CRITICAL
BLR-KMG-11-0024,23,magnet_attack,2026-03-10 19:00,2026-03-10 22:30,True,CRITICAL
BLR-KMG-11-0032,31,meter_bypass,2026-01-20 00:00,2026-04-20 23:45,True,CRITICAL
BLR-KMG-11-0053,52,phase_tap,2026-02-10 00:00,2026-06-30 23:45,True,CRITICAL
BLR-KMG-11-0068,67,meter_bypass,2026-02-01 00:00,2026-05-01 23:45,True,CRITICAL
BLR-KMG-11-0089,88,ct_tampering,2026-01-15 00:00,2026-06-30 23:45,True,CRITICAL
BLR-KMG-11-0096,95,magnet_attack,2026-04-05 18:30,2026-04-05 21:00,True,CRITICAL
BLR-KMG-11-0143,142,magnet_attack,2026-05-20 19:00,2026-05-20 23:00,True,CRITICAL
BLR-KMG-11-0156,155,ct_tampering,2026-02-28 00:00,2026-06-30 23:45,True,CRITICAL
BLR-KMG-11-0179,178,phase_tap,2026-03-25 00:00,2026-06-30 23:45,True,CRITICAL
BLR-KMG-12-0204,203,meter_bypass,2026-03-15 00:00,2026-06-15 23:45,True,CRITICAL
BLR-KMG-12-0268,267,phase_tap,2026-04-12 00:00,2026-06-30 23:45,True,CRITICAL
BLR-KMG-12-0319,318,meter_bypass,2026-04-01 00:00,2026-06-30 23:45,True,CRITICAL
BLR-KMG-13-0401,400,noise_vacant,2026-03-01 00:00,2026-04-30 23:45,False,MONITOR
BLR-KMG-13-0451,450,noise_renovation,2026-04-15 00:00,2026-05-15 23:45,False,MONITOR
